Player,Team,Match,Over,Span⬇,Mat,Inns,Runs,BF,RR,Wkts,Ave,BpD,Dot%,Bnd%
SS Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",20,2025-2025,1,1,22,6,22,0,-,-,33.3,66.66
SS Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",19,2025-2025,1,1,13,6,13,0,-,-,33.3,33.33
KA Jamieson,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",18,2025-2025,1,1,0,2,0,0,-,-,100,0
Azmatullah Omarzai,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",18,2025-2025,1,1,0,1,0,1,0,1,100,0
SS Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",18,2025-2025,1,1,3,3,6,0,-,-,33.3,0
SS Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",17,2025-2025,1,1,1,1,6,0,-,-,0,0
Azmatullah Omarzai,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",17,2025-2025,1,1,1,1,6,0,-,-,0,0
MP Stoinis,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",17,2025-2025,1,1,6,2,18,1,6,2,50,50
N Wadhera,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",17,2025-2025,1,1,0,2,0,1,0,2,100,0
N Wadhera,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",16,2025-2025,1,1,2,2,6,0,-,-,0,0
SS Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",16,2025-2025,1,1,13,4,19.5,0,-,-,25,50
N Wadhera,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",15,2025-2025,1,1,7,2,21,0,-,-,0,50
SS Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",15,2025-2025,1,1,6,4,9,0,-,-,25,25
N Wadhera,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",14,2025-2025,1,1,3,4,4.5,0,-,-,50,0
SS Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",14,2025-2025,1,1,1,2,3,0,-,-,50,0
N Wadhera,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",13,2025-2025,1,1,1,1,6,0,-,-,0,0
SS Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",13,2025-2025,1,1,2,4,3,0,-,-,50,0
JP Inglis,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",13,2025-2025,1,1,0,1,0,1,0,1,100,0
N Wadhera,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",12,2025-2025,1,1,1,3,2,0,-,-,66.6,0
JP Inglis,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",12,2025-2025,1,1,8,3,16,0,-,-,0,33.33
N Wadhera,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",11,2025-2025,1,1,0,3,0,0,-,-,100,0
JP Inglis,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",11,2025-2025,1,1,7,3,14,0,-,-,33.3,33.33
N Wadhera,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",10,2025-2025,1,1,1,1,6,0,-,-,0,0
SS Iyer,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",10,2025-2025,1,1,0,1,0,1,0,1,100,0
JP Inglis,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",10,2025-2025,1,1,6,4,9,0,-,-,25,25
SS Iyer,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",9,2025-2025,1,1,1,1,6,0,-,-,0,0
JP Inglis,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",9,2025-2025,1,1,2,3,4,0,-,-,33.3,0
Prabhsimran Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",9,2025-2025,1,1,1,2,3,1,1,2,50,0
JP Inglis,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",8,2025-2025,1,1,7,2,21,0,-,-,0,50
Prabhsimran Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",8,2025-2025,1,1,8,4,12,0,-,-,25,25
JP Inglis,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",7,2025-2025,1,1,1,2,3,0,-,-,50,0
Prabhsimran Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",7,2025-2025,1,1,2,4,3,0,-,-,50,0
JP Inglis,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",6,2025-2025,1,1,8,5,9.6,0,-,-,60,20
Prabhsimran Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",6,2025-2025,1,1,1,1,6,0,-,-,0,0
Prabhsimran Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",5,2025-2025,1,1,1,1,6,0,-,-,0,0
P Arya,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",5,2025-2025,1,1,9,5,10.8,1,9,5,40,40
P Arya,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",4,2025-2025,1,1,1,3,2,0,-,-,66.6,0
Prabhsimran Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",4,2025-2025,1,1,3,3,6,0,-,-,33.3,0
P Arya,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",3,2025-2025,1,1,3,3,6,0,-,-,33.3,0
Prabhsimran Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",3,2025-2025,1,1,2,3,4,0,-,-,33.3,0
Prabhsimran Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",2,2025-2025,1,1,1,2,3,0,-,-,50,0
P Arya,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",2,2025-2025,1,1,5,4,7.5,0,-,-,50,25
Prabhsimran Singh,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",1,2025-2025,1,1,7,2,21,0,-,-,0,50
P Arya,PBKS,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",1,2025-2025,1,1,6,4,9,0,-,-,25,25
Y Dayal,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",20,2025-2025,1,1,1,1,6,0,-,-,0,0
Bhuvneshwar Kumar,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",20,2025-2025,1,1,1,2,3,1,1,2,50,0
R Shepherd,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",20,2025-2025,1,1,0,1,0,1,0,1,100,0
KH Pandya,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",20,2025-2025,1,1,1,2,3,1,1,2,50,0
KH Pandya,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",19,2025-2025,1,1,2,2,6,0,-,-,0,0
R Shepherd,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",19,2025-2025,1,1,12,4,18,0,-,-,0,50
KH Pandya,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",18,2025-2025,1,1,1,1,6,0,-,-,0,0
JM Sharma,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",18,2025-2025,1,1,0,2,0,1,0,2,100,0
R Shepherd,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",18,2025-2025,1,1,4,3,8,0,-,-,0,0
R Shepherd,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",17,2025-2025,1,1,1,1,6,0,-,-,0,0
LS Livingstone,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",17,2025-2025,1,1,6,2,18,1,6,2,50,50
JM Sharma,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",17,2025-2025,1,1,13,3,26,0,-,-,0,66.66
LS Livingstone,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",16,2025-2025,1,1,3,2,9,0,-,-,0,0
JM Sharma,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",16,2025-2025,1,1,10,4,15,0,-,-,0,50
JM Sharma,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",15,2025-2025,1,1,1,1,6,0,-,-,0,0
LS Livingstone,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",15,2025-2025,1,1,2,2,6,0,-,-,0,0
V Kohli,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",15,2025-2025,1,1,2,3,4,1,2,3,33.3,0
V Kohli,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",14,2025-2025,1,1,6,3,12,0,-,-,0,33.33
LS Livingstone,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",14,2025-2025,1,1,8,3,16,0,-,-,0,33.33
LS Livingstone,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",13,2025-2025,1,1,3,3,6,0,-,-,0,0
V Kohli,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",13,2025-2025,1,1,3,3,6,0,-,-,0,0
V Kohli,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",12,2025-2025,1,1,4,4,6,0,-,-,25,0
LS Livingstone,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",12,2025-2025,1,1,2,2,6,0,-,-,0,0
LS Livingstone,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",11,2025-2025,1,1,1,1,6,0,-,-,0,0
RM Patidar,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",11,2025-2025,1,1,8,4,12,1,8,4,50,25
V Kohli,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",11,2025-2025,1,1,1,1,6,0,-,-,0,0
RM Patidar,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",10,2025-2025,1,1,1,3,2,0,-,-,66.6,0
V Kohli,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",10,2025-2025,1,1,6,3,12,0,-,-,0,33.33
RM Patidar,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",9,2025-2025,1,1,9,3,18,0,-,-,0,33.33
V Kohli,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",9,2025-2025,1,1,2,3,4,0,-,-,33.3,0
V Kohli,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",8,2025-2025,1,1,2,2,6,0,-,-,0,0
RM Patidar,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",8,2025-2025,1,1,6,4,9,0,-,-,25,25
RM Patidar,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",7,2025-2025,1,1,2,2,6,0,-,-,0,0
MA Agarwal,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",7,2025-2025,1,1,0,1,0,1,0,1,100,0
V Kohli,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",7,2025-2025,1,1,4,3,8,0,-,-,0,0
MA Agarwal,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",6,2025-2025,1,1,8,4,12,0,-,-,25,25
V Kohli,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",6,2025-2025,1,1,1,2,3,0,-,-,50,0
MA Agarwal,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",5,2025-2025,1,1,2,2,6,0,-,-,0,0
V Kohli,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",5,2025-2025,1,1,5,4,7.5,0,-,-,0,0
MA Agarwal,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",4,2025-2025,1,1,4,4,6,0,-,-,75,25
V Kohli,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",4,2025-2025,1,1,5,2,15,0,-,-,0,50
V Kohli,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",3,2025-2025,1,1,1,1,6,0,-,-,0,0
MA Agarwal,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",3,2025-2025,1,1,9,5,10.8,0,-,-,40,20
MA Agarwal,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",2,2025-2025,1,1,1,2,3,0,-,-,50,0
PD Salt,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",2,2025-2025,1,1,4,3,8,1,4,3,66.6,33.33
V Kohli,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",2,2025-2025,1,1,1,1,6,0,-,-,0,0
PD Salt,RCB,"Royal Chal Bengaluru v Punjab Kings at Ahmedabad, Tata Indian Premier League, Final, 3 Jun 2025",1,2025-2025,1,1,12,6,12,0,-,-,50,33.33
SS Iyer,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",19,2025-2025,1,1,24,7,20.57,0,-,-,42.8,57.14
SS Iyer,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",18,2025-2025,1,1,6,4,9,0,-,-,25,25
MP Stoinis,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",18,2025-2025,1,1,2,2,6,0,-,-,0,0
SS Iyer,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",17,2025-2025,1,1,9,4,13.5,0,-,-,25,50
SS Singh,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",17,2025-2025,1,1,1,2,3,1,1,2,50,0
SS Singh,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",16,2025-2025,1,1,1,1,6,0,-,-,0,0
SS Iyer,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",16,2025-2025,1,1,7,2,21,0,-,-,0,50
N Wadhera,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",16,2025-2025,1,1,7,3,14,1,7,3,33.3,33.33
SS Iyer,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",15,2025-2025,1,1,1,2,3,0,-,-,50,0
N Wadhera,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",15,2025-2025,1,1,4,4,6,0,-,-,25,0
SS Iyer,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",14,2025-2025,1,1,3,2,9,0,-,-,0,0
N Wadhera,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",14,2025-2025,1,1,10,4,15,0,-,-,0,50
SS Iyer,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",13,2025-2025,1,1,18,5,21.6,0,-,-,40,60
N Wadhera,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",13,2025-2025,1,1,1,1,6,0,-,-,0,0
SS Iyer,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",12,2025-2025,1,1,1,1,6,0,-,-,0,0
N Wadhera,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",12,2025-2025,1,1,6,5,7.2,0,-,-,20,0
N Wadhera,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",11,2025-2025,1,1,3,5,3.6,0,-,-,60,0
SS Iyer,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",11,2025-2025,1,1,1,1,6,0,-,-,0,0
N Wadhera,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",10,2025-2025,1,1,11,3,22,0,-,-,0,66.66
SS Iyer,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",10,2025-2025,1,1,6,3,12,0,-,-,0,33.33
N Wadhera,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",9,2025-2025,1,1,6,3,12,0,-,-,0,33.33
SS Iyer,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",9,2025-2025,1,1,3,3,6,0,-,-,0,0
N Wadhera,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",8,2025-2025,1,1,0,1,0,0,-,-,100,0
SS Iyer,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",8,2025-2025,1,1,1,1,6,0,-,-,0,0
JP Inglis,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",8,2025-2025,1,1,1,4,1.5,1,1,4,75,0
JP Inglis,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",7,2025-2025,1,1,4,4,6,0,-,-,25,0
SS Iyer,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",7,2025-2025,1,1,2,2,6,0,-,-,0,0
JP Inglis,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",6,2025-2025,1,1,4,1,24,0,-,-,0,100
SS Iyer,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",6,2025-2025,1,1,5,4,7.5,0,-,-,50,25
P Arya,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",6,2025-2025,1,1,0,1,0,1,0,1,100,0
JP Inglis,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",5,2025-2025,1,1,20,6,20,0,-,-,33.3,66.66
JP Inglis,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",4,2025-2025,1,1,1,1,6,0,-,-,0,0
P Arya,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",4,2025-2025,1,1,13,5,15.6,0,-,-,20,40
JP Inglis,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",3,2025-2025,1,1,8,5,9.6,0,-,-,60,40
Prabhsimran Singh,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",3,2025-2025,1,1,0,1,0,1,0,1,100,0
P Arya,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",2,2025-2025,1,1,6,3,12,0,-,-,33.3,33.33
Prabhsimran Singh,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",2,2025-2025,1,1,1,3,2,0,-,-,66.6,0
Prabhsimran Singh,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",1,2025-2025,1,1,5,5,6,0,-,-,60,20
P Arya,PBKS,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",1,2025-2025,1,1,1,1,6,0,-,-,0,0
R Bawa,MI,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",20,2025-2025,1,1,5,2,15,0,-,-,0,0
MJ Santner,MI,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",20,2025-2025,1,1,0,1,0,0,-,-,100,0
N Dhir,MI,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",20,2025-2025,1,1,4,3,8,1,4,3,66.6,33.33
R Bawa,MI,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",19,2025-2025,1,1,3,2,9,0,-,-,0,0
N Dhir,MI,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",19,2025-2025,1,1,10,4,15,0,-,-,0,50
N Dhir,MI,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",18,2025-2025,1,1,5,2,15,0,-,-,0,50
HH Pandya,MI,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",18,2025-2025,1,1,5,4,7.5,1,5,4,50,25
HH Pandya,MI,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",17,2025-2025,1,1,1,1,6,0,-,-,0,0
N Dhir,MI,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",17,2025-2025,1,1,13,5,15.6,0,-,-,20,60
N Dhir,MI,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",16,2025-2025,1,1,3,2,9,0,-,-,0,0
HH Pandya,MI,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",16,2025-2025,1,1,7,4,10.5,0,-,-,50,0
HH Pandya,MI,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",15,2025-2025,1,1,2,3,4,0,-,-,33.3,0
N Dhir,MI,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",15,2025-2025,1,1,2,2,6,0,-,-,0,0
NT Tilak Varma,MI,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",15,2025-2025,1,1,0,1,0,1,0,1,100,0
HH Pandya,MI,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",14,2025-2025,1,1,0,1,0,0,-,-,100,0
SA Yadav,MI,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",14,2025-2025,1,1,10,4,15,1,10,4,50,50
NT Tilak Varma,MI,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",14,2025-2025,1,1,1,1,6,0,-,-,0,0
SA Yadav,MI,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",13,2025-2025,1,1,8,6,8,0,-,-,66.6,33.33
NT Tilak Varma,MI,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",12,2025-2025,1,1,2,2,6,0,-,-,0,0
SA Yadav,MI,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",12,2025-2025,1,1,9,4,13.5,0,-,-,0,25
SA Yadav,MI,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",11,2025-2025,1,1,1,1,6,0,-,-,0,0
NT Tilak Varma,MI,"Punjab Kings v Mumbai Indians at Ahmedabad, Tata Indian Premier League, 1 Jun 2025",11,2025-2025,1,1,9,5,10.8,0,-,-,20,20
