Player,Team,Match,Year,Innings,Chase_Target,Entry_Over,Exit_Over,Runs,BF,Dots,Fours,Sixes,Entry_RR_Required,Entry_Runs_Required,Entry_Balls_Remaining,Exit_RR_Required,Exit_Runs_Required,Exit_Balls_Remaining,Strike_Rate,Dot_Pct,Bnd_Pct,Overs_Played,Innings_Duration,Team_RRR_Impact,Pct_of_Runs_Remaining,Contribution_Per_Over,Pct_of_Target,Required_Runs_For_Balls,Contribution_Pct,Impact_Runs,Player_Run_Rate,Entry_Phase,Final_Strike_Rate
A Badoni,Lucknow Super Giants,LAT20 # 14999,2025,2nd,,9.0,13,22,17,60,27,8,,,62,,,38,129.41176470588235,352.94117647058823,205.88235294117646,2.8,5.0,,0.0,7.764705882352941,0.0,,0.0,0.0,7.76470588235294,Middle,129.41176470588235
A Badoni,Lucknow Super Giants,LAT20 # 15015,2025,2nd,,7.0,17,50,34,177,47,21,,,73,,,15,147.05882352941177,520.5882352941177,200.0,5.7,11.0,,0.0,8.823529411764705,0.0,,0.0,0.0,8.823529411764707,Middle,147.05882352941177
A Badoni,Lucknow Super Giants,LAT20 # 15029,2025,2nd,,14.0,19,36,21,121,45,16,,,32,,,2,171.42857142857142,576.1904761904761,290.4761904761905,3.5,6.0,,0.0,10.285714285714286,0.0,,0.0,0.0,10.285714285714285,Middle,171.42857142857142
A Badoni,Lucknow Super Giants,LAT20 # 15051,2025,1st,216.0,6.0,14,35,22,55,18,9,11.32,151.0,80,14.29,81.0,34,159.0909090909091,250.0,122.72727272727273,3.7,9.0,-2.969999999999999,23.178807947019866,9.545454545454545,16.203703703703702,41.50666666666667,84.3238034050755,-6.506666666666668,9.545454545454545,Powerplay,159.0909090909091
A Badoni,Lucknow Super Giants,LAT20 # 15075,2025,1st,237.0,4.0,19,74,40,196,65,63,13.34,209.0,94,58.8,49.0,5,185.0,490.00000000000006,320.0,6.7,16.0,-45.459999999999994,35.406698564593306,11.1,31.223628691983123,88.93333333333334,83.20839580209895,-14.933333333333337,11.100000000000001,Powerplay,185.0
A Badoni,Lucknow Super Giants,LAT20 # 15096,2025,2nd,,15.0,17,3,5,37,14,6,,,25,,,14,60.0,740.0,400.0,0.8,3.0,,0.0,3.5999999999999996,0.0,,0.0,0.0,3.5999999999999996,Middle,60.0
A Deep,Lucknow Super Giants,LAT20 # 14973,2025,2nd,,19.0,19,0,1,10,2,2,,,1,,,1,0.0,1000.0,400.0,0.2,1.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Death,0.0
A Deep,Lucknow Super Giants,LAT20 # 15096,2025,2nd,,19.0,19,6,1,4,2,2,,,0,,,0,600.0,400.0,400.0,0.2,1.0,,0.0,36.0,0.0,,0.0,0.0,36.0,Death,600.0
A Deep,Royal Chal Bengaluru,LAT20 # 13470,2024,2nd,,18.0,19,2,2,19,9,0,,,7,,,5,100.0,950.0,450.0,0.3,2.0,,0.0,6.0,0.0,,0.0,0.0,6.0,Death,100.0
A Kamboj,Chennai Super Kings,LAT20 # 14986,2025,2nd,,17.0,17,3,3,29,8,0,,,15,,,12,100.0,966.6666666666666,266.66666666666663,0.5,1.0,,0.0,6.0,0.0,,0.0,0.0,6.0,Death,100.0
A Kamboj,Chennai Super Kings,LAT20 # 15043,2025,2nd,,16.0,17,2,4,37,5,3,,,20,,,15,50.0,925.0,200.0,0.7,2.0,,0.0,3.0,0.0,,0.0,0.0,3.0,Death,50.0
A Kamboj,Chennai Super Kings,LAT20 # 15063,2025,2nd,,18.0,18,0,1,4,2,2,,,7,,,7,0.0,400.0,400.0,0.2,1.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Death,0.0
A Kamboj,Chennai Super Kings,LAT20 # 15081,2025,1st,180.0,19.0,19,4,1,5,2,1,,0.0,2,,0.0,2,400.0,500.0,300.0,0.2,1.0,,0.0,24.0,2.2222222222222223,,0.0,0.0,24.0,Death,400.0
A Kamboj,Chennai Super Kings,LAT20 # 15099,2025,2nd,,19.0,19,5,3,21,5,0,,,4,,,2,166.66666666666669,700.0,166.66666666666669,0.5,1.0,,0.0,10.0,0.0,,0.0,0.0,10.000000000000002,Death,166.66666666666669
A Kamboj,Mumbai Indians,LAT20 # 13622,2024,1st,158.0,15.0,15,2,2,12,8,4,31.5,21.0,4,,19.0,0,100.0,600.0,600.0,0.3,1.0,,9.523809523809524,6.0,1.2658227848101267,10.5,19.047619047619047,-8.5,6.0,Middle,100.0
A Madhwal,Mumbai Indians,LAT20 # 13442,2024,2nd,,18.0,19,4,5,58,15,5,,,8,,,0,80.0,1160.0,400.0,0.8,2.0,,0.0,4.8,0.0,,0.0,0.0,4.800000000000001,Death,80.0
A Madhwal,Rajasthan Royals,LAT20 # 15066,2025,1st,218.0,11.0,15,4,9,81,9,10,15.87,127.0,48,24.48,102.0,25,44.44444444444444,900.0,211.11111111111111,1.5,5.0,-8.610000000000001,3.149606299212598,2.6666666666666665,1.834862385321101,23.804999999999996,16.803192606595253,-19.804999999999996,2.6666666666666665,Middle,44.44444444444444
