Batsman,Bowling_Category,Runs,Balls,Strike_Rate
VG Arora,Pace,1,9,11.1
VR Iyer,Pace,470,287,163.8
VR Iyer,Spin,313,218,143.6
VV Chakravarthy,Pace,1,1,100.0
WG Jacks,Pace,399,257,155.3
WG Jacks,Spin,395,255,154.9
WP Saha,Pace,125,100,125.0
WP Saha,Spin,71,50,142.0
XC Bartlett,Pace,11,15,73.3
XC Bartlett,Spin,6,10,60.0
Y Dayal,Pace,4,7,57.1
Y Dayal,Spin,0,1,0.0
YB Jaiswal,Pace,964,602,160.1
YB Jaiswal,Spin,735,468,157.1
Yudhvir Singh Charak,Pace,15,9,166.7
Yudhvir Singh Charak,Spin,8,9,88.9
